title,description,datePublished,citation,keywords
aspwen1,NA,NA,2016/12/07,NA
aspzon1,NA,NA,"de Vries RP et al.,2017",NA
astodo1,NA,NA,2021/01/12,NA
astpar1,NA,NA,2021/05/05,NA
astsub1,NA,NA,"Franco MEE et al.,2021",NA
athara1,NA,NA,1,NA
athara2,NA,NA,1,NA
athdec1,NA,NA,1,NA
athepi1,NA,NA,1,NA
athter1,NA,NA,1,NA
athter2,NA,NA,1,NA
aulhed1,NA,NA,2020/01/29,NA
auramp1,NA,NA,"Almási É et al.,2019",NA
aurmel1,NA,NA,2014/07/02,NA
aurmus1,NA,NA,2020/10/10,NA
aurnam1,NA,NA,2014/07/02,NA
aurpul1,NA,NA,"Rueda-Mejia MP et al.,2021",NA
aurpul2,NA,NA,"Gostin?ar C et al.,2014",NA
aurpul3,NA,NA,"Gostin?ar C et al.,2014",NA
aurpul4,NA,NA,"Gostin?ar C et al.,2014",NA
aurpul5,NA,NA,"Gostin?ar C et al.,2014",NA
aurpul6,NA,NA,2014/07/02,NA
aursp.1,NA,NA,2021/09/10,NA
aursp.2,NA,NA,2021/11/04,NA
aursub2,NA,NA,2014/07/02,NA
aursub3,NA,NA,2012/06/04,NA
auruva1,NA,NA,2020/10/10,NA
aurvin1,NA,NA,2020/10/10,NA
aurvul1,NA,NA,"Looney B et al.,2021",NA
auspsi1,NA,NA,2013/09/19,NA
babino1,NA,NA,"Riley R et al.,2016",NA
bacgig1,NA,NA,2021/08/06,NA
basmer1,NA,NA,"Mondo SJ et al.,2017",NA
batden1,NA,NA,2011/04/07,NA
batden2,NA,NA,2006/10/20,NA
batsal1,NA,NA,"Farrer RA et al.,2017",NA
baucom1,NA,NA,"Ohm RA et al.,N/D",NA
baupan1,NA,NA,2013/02/08,NA
beabas1,NA,NA,"Xiao G et al.,N/D",NA
beabas2,NA,NA,2014/11/03,NA
beabro1,NA,NA,"Shang Y et al.,2016",NA
bifade1,NA,NA,"Torres-Cruz TJ et al.,2017",NA
bimnov1,NA,NA,"Haridas S et al.,2020",NA
bipmay1,NA,NA,2013/04/06,NA
bipmay2,NA,NA,2013/02/08,NA
bipory1,NA,NA,2014/01/24,NA
bipsor1,NA,NA,2013/02/08,NA
bipsor2,NA,NA,2020/07/16,NA
bipzei1,NA,NA,2014/01/24,NA
bismar1,NA,NA,"Franco MEE et al.,2021",NA
bismed1,NA,NA,"Franco MEE et al.,2021",NA
bismed2,NA,NA,"Franco MEE et al.,2021",NA
bissp.1,NA,NA,"Franco MEE et al.,2021",NA
bjeadu1,NA,NA,"Binder M et al.,2013",NA
blaar.1,NA,NA,"Kunze G et al.,N/D",NA
blader2,NA,NA,"Muñoz JF et al.,2015",NA
blader3,NA,NA,"Muñoz JF et al.,2015",NA
blader4,NA,NA,2010/03/24,NA
blader5,NA,NA,2010/11/05,NA
blagil1,NA,NA,2009/02/19,NA
blapar1,NA,NA,2017/10/17,NA
blaper1,NA,NA,"Dukik K et al.,2017",NA
blasil1,NA,NA,2015/05/28,NA
blazon1,NA,NA,2021/06/11,NA
blugra3,NA,NA,"Frantzeskakis L et al.,2018",NA
blugra4,NA,NA,"Frantzeskakis L et al.,2018",NA
blugra5,NA,NA,"Müller MC et al.,2019",NA
blugra6,NA,NA,2019/01/30,NA
blugra7,NA,NA,2018/09/14,NA
blugra9,NA,NA,2021/06/14,NA
bluhor1,NA,NA,2013/04/18,NA
blyhel1,NA,NA,"Ahrendt SR et al.,2018",NA
boeexi1,NA,NA,"Mesny F et al.,2021",NA
boledu1,NA,NA,"Miyauchi S et al.,2020",NA
boledu2,NA,NA,"Miyauchi S et al.,2020",NA
bolret1,NA,NA,2021/05/18,NA
bonmes1,NA,NA,2019/04/22,NA
botacl1,NA,NA,2020/10/20,NA
botbot1,NA,NA,2014/06/03,NA
botbys1,NA,NA,2020/10/20,NA
botcal1,NA,NA,2019/03/26,NA
botcin3,NA,NA,"Amselem J et al.,2011",NA
botcin4,NA,NA,2015/02/05,NA
botcin5,NA,NA,2013/03/28,NA
botcon1,NA,NA,2019/04/12,NA
